"","id","URM","URM2","day0","day","homeavoid.x","curraffect","e.excited","e.enthus","e.nerv","e.fear","e.hostile","e.uncertain","e.calm","e.peace","e.indiff","e.homesick","e.guilty","e.happy","e.shame","e.slug","e.sleepy","e.proud","neg.m.x","pos.m.x","er.accept","er.distractbusy","er.rumin","er.prob","er.socsupp","er.benfind","er.conseq","er.selfblame","er.otherblame","er.posfocus","er.beh","er.savor","er.perspect","er.distractonline","er.suppress1","er.suppress2","er.avoid","iof.day","WUcon_hrs","WUcon_mode","WUcon_mode_txt","WUcon_mode_3","WUcon_mode_4","WUcon_mode_5","WUcon_mode_5_txt","famcon","fambff_modes_1","fambff_modes_2","fambff_modes_3","fambff_modes_4","fambff_modes_5","fambff_modes_5_txt","famcon_me","me_famcon","interact","express","suppress","avoid.home","avoid.h_acad","avoid.h_soc","avoid.h_money","avoid.college","avoid.c_acad","avoid.c_soc","avoid.c_money","firstgen","gender","iof.day.y","neg.m.y","pos.m.y","homeavoid.y","er.avoid.y","filter_$","min","missincases","completecases","complete","iof.x.pc","duration.exp","duration","StartDate","EndDate","Date_analysis"
"1",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,"","",""
"2",1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,"","",""
"3",1,0,0,2,3,1.5,6,3,3,1,1,1,1,4,3,1,2,2,4,1,2,3,3,1.625,3.33333333333333,3,4,1,3,2,2,1,1,1,2,3,3,3,4,2,2,1,5,4,1,1,1,1,NA,"",1,NA,NA,1,1,NA,"",0.5,0.5,1,3,3,1,1,1,3,1,2,2,1,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,-0.25,0,1463,"3/29/2017 20:21","3/29/2017 20:46","Wednesday, March 29th"
"4",1,0,0,3,4,1.5,7,4,4,1,1,1,1,3,4,1,2,1,4,1,1,2,5,1.25,4,4,3,1,4,2,2,2,1,1,4,3,4,4,3,3,2,1,6,4,1,NA,1,1,NA,"",3,NA,1,1,1,NA,"",2,1,1,3,3,1,2,1,2,1,2,1,2,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,0.75,1,350,"3/30/2017 19:18","3/30/2017 19:24","Thursday, March 30th"
"5",1,0,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,"","",""
"6",1,0,0,5,6,1.25,6,2,2,3,2,1,2,2,2,1,2,3,2,2,3,2,2,2.25,2,3,2,2,4,3,2,2,2,1,3,2,2,4,2,2,3,1,5,6,1,1,1,1,NA,"",3,NA,1,1,1,NA,"",2,1,1,3,4,1,2,1,1,1,2,1,1,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,-0.25,1,361,"4/1/2017 18:48","4/1/2017 18:54","Saturday, April 1st"
"7",1,0,0,6,7,1.25,5,2,2,3,2,1,2,2,2,1,2,3,3,3,2,2,2,2.25,2.16666666666667,4,2,2,3,3,3,2,3,1,3,2,2,4,2,2,2,2,5,4,1,NA,1,1,NA,"",2,NA,NA,1,1,NA,"",1,1,1,4,4,1,2,1,1,1,2,1,1,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,-0.25,1,317,"4/2/2017 20:03","4/2/2017 20:08","Sunday, April 2nd"
"8",2,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,"","",""
"9",2,0,1,1,2,1.25,NA,1,1,2,2,3,2,2,2,3,1,2,2,2,3,3,1,2.25,1.5,2,2,3,2,3,2,2,2,3,3,3,2,2,4,3,2,3,6,2,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,3,3,2,1,1,1,2,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,0.666666666666667,1,372,"3/28/2017 22:04","3/28/2017 22:11","Tuesday, March 28th"
"10",2,0,1,2,3,1.25,NA,3,2,2,1,1,2,3,3,3,2,2,3,1,3,2,2,1.75,2.66666666666667,2,4,2,3,4,3,2,1,1,4,3,3,3,4,3,3,2,5,3,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,4,3,2,1,1,1,1,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,-0.333333333333333,1,203,"3/29/2017 17:11","3/29/2017 17:14","Wednesday, March 29th"
"11",2,0,1,3,4,1.25,NA,2,2,2,1,2,3,3,3,2,1,1,3,1,3,3,1,1.75,2.33333333333333,3,3,2,3,3,2,3,2,2,3,2,3,3,4,3,3,2,6,2,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,3,3,2,1,1,1,2,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,0.666666666666667,1,383,"3/30/2017 18:12","3/30/2017 18:18","Thursday, March 30th"
"12",2,0,1,4,5,1,6,3,2,3,2,2,3,3,3,2,1,1,3,1,3,3,1,2,2.5,3,3,3,3,2,2,2,2,2,3,3,3,3,4,2,3,2,5,3,1,NA,1,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,4,4,1,1,1,1,1,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,-0.333333333333333,1,127,"3/31/2017 17:12","3/31/2017 17:14","Friday, March 31st"
"13",2,0,1,5,6,1,6,2,1,2,3,2,2,3,3,3,2,2,2,2,3,3,2,2.375,2.16666666666667,3,3,2,3,3,3,3,3,2,3,2,2,2,4,2,3,3,5,2,1,NA,1,NA,NA,"",0.5,NA,NA,1,NA,NA,"",0,0.5,1,4,4,1,1,1,1,2,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,-0.333333333333333,1,235,"4/1/2017 17:25","4/1/2017 17:29","Saturday, April 1st"
"14",2,0,1,6,7,1,3,1,1,3,3,2,3,2,3,2,2,3,2,3,3,3,1,2.75,1.66666666666667,2,2,2,2,2,2,3,4,2,2,1,2,2,4,3,2,1,5,2,NA,NA,1,NA,NA,"",0.5,NA,NA,1,NA,NA,"",0.25,0.25,0,NA,NA,1,1,1,1,1,1,1,1,0,2,NA,NA,NA,NA,NA,0,1,0,1,0,-0.333333333333333,1,148,"4/2/2017 17:37","4/2/2017 17:40","Sunday, April 2nd"
"15",3,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,"","",""
"16",3,0,1,1,2,1,5,3,3,2,2,2,3,3,3,2,2,2,4,1,4,4,3,2.375,3.16666666666667,3,3,2,5,4,3,1,2,1,3,5,2,3,3,1,2,1,5,5,1,1,NA,NA,NA,"",0.5,NA,NA,NA,NA,NA,"",NA,NA,1,2,5,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,0,1,0,1,0,-1,1,193,"3/28/2017 22:19","3/28/2017 22:23","Tuesday, March 28th"
